branch_id,provider_id,branch_name,country,city,phone,address,manager,opening_hours,services
BR-00001,PR-00093,Sucursal LLC Valencia,España,Valencia,+34 640514759,"0885 Mayo Extension Apt. 259
Lake Brendaport, SC 60482",Linda Jones,"Martes a Domingo, 11:00–19:00","Entrega y recogida, Reparaciones, Logística"
BR-00002,PR-00006,Sucursal Inc Yokohama,Japón,Yokohama,+81 650232138,"3963 Boyd Path Suite 540
Kleinfurt, CO 30705",Brian Carroll,"Lunes a Viernes, 9:00–18:00","Ventas, Entrega y recogida, Soporte técnico"
BR-00003,PR-00014,Sucursal and Sons Ciudad de México,México,Ciudad de México,+52 658740112,"42487 Amanda Islands
North Austinton, VI 95606",Courtney Davies,"Lunes a Viernes, 8:30–17:30","Soporte técnico, Ventas"
BR-00004,PR-00058,Sucursal Group Calgary,Canadá,Calgary,+1 689840324,"59284 Howard Islands
South John, FM 82372",Joseph Howe,"Todos los días, 8:00–22:00","Logística, Ventas, Reparaciones, Atención al cliente"
BR-00005,PR-00068,Sucursal Ltd Guadalajara,México,Guadalajara,+52 673835908,"87707 Christine Light Apt. 222
South Joelfurt, VT 69869",Keith Craig,"Lunes a Viernes, 9:00–18:00","Consultoría, Logística, Ventas, Reparaciones"
BR-00006,PR-00002,Sucursal Inc Lyon,Francia,Lyon,+33 632176385,"98581 Park Views Apt. 635
North Nicholasborough, ME 06250",David Jenkins,"Todos los días, 8:00–22:00","Reparaciones, Entrega y recogida, Consultoría, Atención al cliente"
BR-00007,PR-00084,Sucursal Ltd Caracas,Venezuela,Caracas,+58 611582232,"40576 Rodriguez Walk Apt. 212
Larsenhaven, KY 02480",William Clark,"Lunes a Sábado, 10:00–20:00","Ventas, Reparaciones"
BR-00008,PR-00071,Sucursal Group Santo Domingo,Dominican Republic,Santo Domingo,+1 610427949,"097 Freeman Throughway Suite 425
Freemanbury, VT 72600",Frank Stark,"Lunes a Viernes, 9:00–18:00","Soporte técnico, Atención al cliente, Consultoría"
BR-00009,PR-00063,Sucursal Group Sevilla,España,Sevilla,+34 673898938,"7911 Carter Pines Apt. 124
Lake Richard, AK 08315",Sherry Larson,"Lunes a Sábado, 10:00–20:00","Reparaciones, Soporte técnico, Atención al cliente, Consultoría"
BR-00010,PR-00057,Sucursal LLC Sevilla,España,Sevilla,+34 644292964,"110 Kenneth Turnpike Suite 591
Elizabethport, NY 35219",Thomas Davidson,"Lunes a Viernes, 8:30–17:30","Logística, Soporte técnico, Ventas"
BR-00011,PR-00023,Sucursal and Sons Guadalajara,México,Guadalajara,+52 654566083,"1277 Cardenas Trail Suite 124
Bradfordhaven, RI 09950",Yesenia Barnett,"Lunes a Sábado, 10:00–20:00","Atención al cliente, Ventas, Logística"
