product_id,name,description,price,category,provider_id
PD-00001,Pantalón vaquero,Pantalón vaquero en formato: Pack de 2 camisetas,471.16,Ropa,PR-00066
PD-00002,Puzzle 500 piezas,Puzzle 500 piezas en formato: Set de construcción,274.76,Juguetes,PR-00068
PD-00003,Lámpara LED,Lámpara LED en formato: Pack de 3,258.67,Hogar,PR-00035
PD-00004,Organizador de cocina,Organizador de cocina en formato: Pack de 3,334.62,Hogar,PR-00097
PD-00005,Bloques de construcción,Bloques de construcción en formato: Caja con piezas,334.72,Juguetes,PR-00033
PD-00006,Balón de fútbol,Balón de fútbol en formato: Unidad,165.75,Deportes,PR-00009
PD-00007,Botella térmica,Botella térmica en formato: Unidad,439.52,Deportes,PR-00078
PD-00008,Aceite de oliva,Aceite de oliva en formato: Caja de 12 unidades,460.74,Alimentos,PR-00088
PD-00009,Arroz basmati,Arroz basmati en formato: Botella de 1L,400.97,Alimentos,PR-00035
PD-00010,Cargador USB-C,Cargador USB-C en formato: Unidad,418.48,Electrónica,PR-00099
PD-00011,Galletas integrales,Galletas integrales en formato: Paquete de 500g,104.87,Alimentos,PR-00009
PD-00012,Café molido,Café molido en formato: Botella de 1L,51.94,Alimentos,PR-00015
PD-00013,Puzzle 500 piezas,Puzzle 500 piezas en formato: Set de construcción,410.21,Juguetes,PR-00060
PD-00014,Lámpara LED,Lámpara LED en formato: Unidad,331.37,Hogar,PR-00031
PD-00015,Chaqueta impermeable,Chaqueta impermeable en formato: Talla M,354.07,Ropa,PR-00063
PD-00016,Bloques de construcción,Bloques de construcción en formato: Set de construcción,59.04,Juguetes,PR-00039
PD-00017,Lámpara LED,Lámpara LED en formato: Pack de 3,210.78,Hogar,PR-00094
PD-00018,Organizador de cocina,Organizador de cocina en formato: Set de cocina,353.08,Hogar,PR-00013
PD-00019,Smartwatch,Smartwatch en formato: Caja con accesorios,488.39,Electrónica,PR-00032
PD-00020,Cargador USB-C,Cargador USB-C en formato: Unidad,153.34,Electrónica,PR-00086
PD-00021,Bloques de construcción,Bloques de construcción en formato: Set de construcción,48.38,Juguetes,PR-00047
PD-00022,Chaqueta impermeable,Chaqueta impermeable en formato: Talla única,265.45,Ropa,PR-00053
PD-00023,Café molido,Café molido en formato: Caja de 12 unidades,60.45,Alimentos,PR-00053
